ORDER_DATE,SHIP_VIA_TYPE,PRODUCT,PRODUCT_DESCRIPTION,QUANTITY,TOTAL_SALES,HUB,BRAND,PROD_CAT
2025-03-21,WILL CALL,PRODUCT_1,CAT_1_DES,4.0,104.44,2.0,SH,CAT_1
2025-03-19,UPS GROUND,PRODUCT_2,CAT_2_DES,1.0,10.63,2.0,SH,CAT_2
2025-03-19,UPS GROUND,PRODUCT_3,CAT_1_DES,2.0,41.78,2.0,SH,CAT_1
2025-03-17,WILL CALL,PRODUCT_1,CAT_1_DES,1.0,31.84,2.0,SH,CAT_1
2025-03-20,WILL CALL,PRODUCT_4,CAT_3_DES,2.0,75.32,2.0,SH,CAT_3
2025-03-20,WILL CALL,PRODUCT_4,CAT_3_DES,2.0,75.32,2.0,SH,CAT_3
2025-03-21,WILL CALL,PRODUCT_5,CAT_3_DES,2.0,86.06,2.0,SH,CAT_3
2025-03-21,WILL CALL,PRODUCT_3,CAT_1_DES,2.0,71.98,2.0,SH,CAT_1
2025-03-20,UPS GROUND,PRODUCT_6,CAT_4_DES,2.0,44.04,2.0,SH,CAT_4
2025-03-21,UPS GROUND,PRODUCT_2,CAT_2_DES,3.0,94.83,2.0,SH,CAT_2
2025-03-24,UPS GROUND,PRODUCT_2,CAT_2_DES,2.0,75.9,2.0,SH,CAT_2
2025-03-21,WILL CALL,PRODUCT_1,CAT_1_DES,2.0,41.88,2.0,SH,CAT_1
2025-03-21,WILL CALL,PRODUCT_1,CAT_1_DES,2.0,41.88,2.0,SH,CAT_1
2025-03-15,WILL CALL,PRODUCT_1,CAT_1_DES,2.0,57.78,2.0,SH,CAT_1
2025-03-15,WILL CALL,PRODUCT_1,CAT_1_DES,2.0,57.78,2.0,SH,CAT_1
2025-03-21,WILL CALL,PRODUCT_7,CAT_5_DES,1.0,4.89,2.0,SH,CAT_5
2025-03-24,WILL CALL,PRODUCT_3,CAT_1_DES,4.0,143.96,2.0,SH,CAT_1
2025-03-24,UPS GROUND,PRODUCT_2,CAT_2_DES,4.0,126.44,2.0,SH,CAT_2
2025-03-19,WILL CALL,PRODUCT_8,CAT_6_DES,2.0,37.62,2.0,SH,CAT_6
2025-03-20,UPS GROUND,PRODUCT_7,CAT_5_DES,2.0,15.98,2.0,SH,CAT_5
2025-03-25,WILL CALL,PRODUCT_3,CAT_1_DES,2.0,41.88,2.0,SH,CAT_1
2025-03-25,WILL CALL,PRODUCT_9,CAT_7_DES,2.0,53.9,2.0,SH,CAT_7
2025-03-21,WILL CALL,PRODUCT_3,CAT_1_DES,2.0,41.88,2.0,SH,CAT_1
2025-03-25,WILL CALL,PRODUCT_3,CAT_1_DES,2.0,44.52,2.0,SH,CAT_1
2025-03-19,UPS GROUND,PRODUCT_7,CAT_5_DES,1.0,4.89,2.0,SH,CAT_5
2025-03-24,WILL CALL,PRODUCT_2,CAT_2_DES,2.0,63.22,2.0,SH,CAT_2
2025-03-21,WILL CALL,PRODUCT_2,CAT_2_DES,33.0,350.79,2.0,SH,CAT_2
2025-03-21,WILL CALL,PRODUCT_10,CAT_8_DES,20.0,117.8,2.0,SH,CAT_8
2025-03-26,WILL CALL,PRODUCT_4,CAT_3_DES,2.0,125.54,2.0,SH,CAT_3
2025-03-26,WILL CALL,PRODUCT_11,CAT_9_DES,2.0,187.98,2.0,SH,CAT_9
2025-03-26,UPS GROUND,PRODUCT_7,CAT_5_DES,5.0,24.45,2.0,SH,CAT_5
2025-03-26,WILL CALL,PRODUCT_3,CAT_1_DES,2.0,41.78,2.0,SH,CAT_1
2025-03-26,WILL CALL,PRODUCT_2,CAT_2_DES,1.0,35.25,2.0,SH,CAT_2
2025-03-24,WILL CALL,PRODUCT_7,CAT_5_DES,1.0,7.99,2.0,SH,CAT_5
2025-03-25,WILL CALL,PRODUCT_10,CAT_8_DES,2.0,15.76,2.0,SH,CAT_8
2025-03-26,WILL CALL,PRODUCT_5,CAT_3_DES,4.0,172.12,2.0,SH,CAT_3
2025-03-27,UPS GROUND,PRODUCT_1,CAT_1_DES,2.0,57.78,2.0,SH,CAT_1
2025-03-27,UPS GROUND,PRODUCT_2,CAT_2_DES,14.0,442.54,2.0,SH,CAT_2
2025-03-27,UPS GROUND,PRODUCT_3,CAT_1_DES,16.0,417.76,2.0,SH,CAT_1
2025-03-27,UPS GROUND,PRODUCT_8,CAT_6_DES,4.0,75.24,2.0,SH,CAT_6
2025-03-27,UPS GROUND,PRODUCT_8,CAT_6_DES,1.0,18.81,2.0,SH,CAT_6
2025-03-25,UPS GROUND,PRODUCT_12,CAT_5_DES,30.0,198.3,2.0,SH,CAT_5
2025-03-28,WILL CALL,PRODUCT_2,CAT_2_DES,3.0,191.97,2.0,SH,CAT_2
2025-03-26,UPS GROUND,PRODUCT_3,CAT_1_DES,2.0,41.78,2.0,SH,CAT_1
2025-03-26,UPS GROUND,PRODUCT_3,CAT_1_DES,2.0,41.78,2.0,SH,CAT_1
2025-03-28,WILL CALL,PRODUCT_2,CAT_2_DES,1.0,31.61,2.0,SH,CAT_2
2025-03-28,UPS GROUND,PRODUCT_8,CAT_6_DES,4.0,75.24,2.0,SH,CAT_6
2025-03-28,WILL CALL,PRODUCT_11,CAT_9_DES,4.0,239.16,2.0,SH,CAT_9
2025-03-20,WILL CALL,PRODUCT_7,CAT_5_DES,1.0,4.13,2.0,SH,CAT_5
2025-03-27,UPS GROUND,PRODUCT_12,CAT_5_DES,4.0,32.36,2.0,SH,CAT_5
2025-03-04,WILL CALL,PRODUCT_7,CAT_5_DES,9.0,44.01,2.0,SH,CAT_5
2025-03-05,WILL CALL,PRODUCT_7,CAT_5_DES,16.0,78.24,2.0,SH,CAT_5
2025-03-28,UPS GROUND,PRODUCT_3,CAT_1_DES,2.0,41.78,2.0,SH,CAT_1
2025-03-07,WILL CALL,PRODUCT_7,CAT_5_DES,2.0,11.22,2.0,SH,CAT_5
2025-03-31,WILL CALL,PRODUCT_7,CAT_5_DES,1.0,5.61,2.0,SH,CAT_5
2025-03-28,WILL CALL,PRODUCT_3,CAT_1_DES,2.0,53.24,2.0,SH,CAT_1
2025-03-31,WILL CALL,PRODUCT_2,CAT_2_DES,8.0,85.04,2.0,SH,CAT_2
2025-03-26,WILL CALL,PRODUCT_7,CAT_5_DES,120.0,470.4,2.0,SH,CAT_5
2025-03-21,WILL CALL,PRODUCT_7,CAT_5_DES,6.0,29.34,2.0,SH,CAT_5
2025-03-19,WILL CALL,PRODUCT_7,CAT_5_DES,1.0,4.89,2.0,SH,CAT_5
